sheep weight value
0 60.000000 26039.000000
1 49.000000 24835.000000
2 47.000000 23348.000000
3 56.000000 25321.000000
4 54.000000 24146.000000
5 51.000000 23342.000000
6 52.000000 25870.000000
7 53.000000 25748.000000
8 48.000000 26390.000000
9 53.000000 26247.000000
10 56.000000 24437.000000
11 47.000000 24966.000000
12 50.000000 26642.000000
13 47.000000 26220.000000
14 59.000000 27995.000000
15 45.000000 20037.000000
16 57.000000 28900.000000
17 54.000000 22975.000000
18 58.000000 20759.000000
19 48.000000 25361.000000
20 60.000000 20898.000000
21 45.000000 25703.000000
22 51.000000 28315.000000
23 55.000000 27566.000000
24 47.000000 28706.000000
25 54.000000 29601.000000
26 45.000000 27651.000000
27 48.000000 28000.000000
28 58.000000 26215.000000
29 59.000000 22929.000000
30 49.000000 25452.000000
31 53.000000 29652.000000
32 51.000000 25677.000000
33 60.000000 28871.000000
34 56.000000 29427.000000
35 55.000000 22859.000000
36 49.000000 26351.000000
37 60.000000 25662.000000
38 57.000000 23215.000000
39 59.000000 24710.000000
40 57.000000 25905.000000
41 53.000000 28743.000000
42 46.000000 21758.000000
43 49.000000 25952.000000
44 45.000000 28914.000000
45 52.000000 20779.000000
46 45.000000 29566.000000
47 47.000000 21986.000000
48 56.000000 20679.000000
49 60.000000 20750.000000
50 55.000000 28156.000000
51 45.000000 26080.000000
52 46.000000 21896.000000
53 51.000000 25323.000000
54 46.000000 27559.000000
55 52.000000 21580.000000
56 55.000000 28515.000000
57 58.000000 26257.000000
58 45.000000 22784.000000
59 45.000000 23206.000000
60 57.000000 22029.000000
61 53.000000 20813.000000
62 51.000000 22787.000000
63 55.000000 26155.000000
64 47.000000 28240.000000
65 53.000000 24963.000000
66 59.000000 22623.000000
67 53.000000 27063.000000
68 46.000000 22411.000000
69 46.000000 25879.000000
70 50.000000 23198.000000
71 56.000000 28848.000000
72 59.000000 20399.000000
73 54.000000 29885.000000
74 54.000000 24709.000000
75 49.000000 20252.000000
76 60.000000 22411.000000
77 54.000000 22520.000000
78 55.000000 24067.000000
79 53.000000 23737.000000
80 60.000000 20743.000000
81 51.000000 27301.000000
82 55.000000 22154.000000
83 58.000000 27739.000000
84 51.000000 21104.000000
85 50.000000 29871.000000
86 60.000000 29457.000000
87 51.000000 25509.000000
88 45.000000 25671.000000
89 52.000000 23095.000000
90 49.000000 23945.000000
91 55.000000 29976.000000
92 45.000000 22856.000000
93 55.000000 22846.000000
94 49.000000 24814.000000
95 52.000000 26733.000000
96 50.000000 27725.000000
97 48.000000 21590.000000
98 47.000000 29323.000000
99 57.000000 20798.000000
100 58.000000 29600.000000
101 50.000000 21736.000000
102 47.000000 21201.000000
103 54.000000 23604.000000
104 53.000000 25896.000000
105 46.000000 20331.000000
106 59.000000 20480.000000
107 46.000000 28356.000000
108 57.000000 25948.000000
109 60.000000 22751.000000
110 57.000000 22827.000000
111 45.000000 25726.000000
112 49.000000 23421.000000
113 51.000000 23719.000000
114 54.000000 27006.000000
115 48.000000 25931.000000
116 54.000000 26628.000000
117 59.000000 25831.000000
118 50.000000 28823.000000
119 53.000000 21850.000000
120 59.000000 23865.000000
121 55.000000 25898.000000
122 59.000000 28906.000000
123 53.000000 26336.000000
124 56.000000 25836.000000
125 58.000000 27109.000000
126 54.000000 21222.000000
127 54.000000 27009.000000
128 47.000000 23583.000000
129 45.000000 29025.000000
130 60.000000 29567.000000
131 59.000000 27312.000000
132 45.000000 24821.000000
133 60.000000 27624.000000
134 51.000000 26513.000000
135 54.000000 27347.000000
136 58.000000 23783.000000
137 57.000000 27073.000000
138 54.000000 28971.000000
139 52.000000 24937.000000
140 46.000000 21488.000000
141 59.000000 20992.000000
142 58.000000 27245.000000
143 59.000000 23332.000000
144 49.000000 28284.000000
